1,"Rehobeth",AL, +31.1225476, -085.4396483
1,"Coosada",AL, +32.4953941, -086.3265431
1,"Elmore",AL, +32.5566058, -086.3410246
1,"Wetumpka",AL, +32.5420184, -086.2053074
1,"Adamsville",AL, +33.6023153, -086.9715269
1,"Brookside",AL, +33.6374043, -086.8926600
1,"Fultondale",AL, +33.6173629, -086.8014363
1,"Helena",AL, +33.2844714, -086.8864838
1,"Kimberly",AL, +33.7769822, -086.8001982
1,"Leeds",AL, +33.5468470, -086.5714476
1,"Midfield",AL, +33.4552718, -086.9224139
1,"Mountain Brook",AL, +33.4914885, -086.7344699
1,"North Johns",AL, +33.3677685, -087.1007246
1,"Madrid",AL, +31.0356354, -085.3992045
1,"Sweet Water",AL, +32.1046143, -087.8618892
1,"Faunsdale",AL, +32.4576144, -087.5937886
1,"Geiger",AL, +32.8687150, -088.3181540
1,"Millbrook",AL, +32.5014739, -086.3739136
1,"Prattville",AL, +32.4490415, -086.4494008
1,"Eclectic",AL, +32.6402222, -086.0410625
1,"Opp",AL, +31.2843753, -086.2574417
1,"Excel",AL, +31.4263861, -087.3436633
1,"Monroeville",AL, +31.5162233, -087.3277136
1,"Vredenburgh",AL, +31.8232340, -087.3180765
1,"Arab",AL, +34.3323868, -086.5011665
1,"Guntersville",AL, +34.3679473, -086.2523225
1,"Millport",AL, +33.5559349, -088.0823817
1,"Sulligent",AL, +33.8911888, -088.1266330
1,"Vernon",AL, +33.7588163, -088.1142907
1,"Detroit",AL, +34.0273794, -088.1678308
1,"Rutledge",AL, +31.7240719, -086.3020085
1,"Hodges",AL, +34.3342457, -087.9231597
1,"Phil Campbell",AL, +34.3515467, -087.7073592
1,"Vina",AL, +34.3761752, -088.0605721
1,"Center Point",AL, +33.6439031, -086.6845668
1,"Fairfield",AL, +33.4748022, -086.9194074
1,"Black",AL, +31.0097704, -085.7444199
1,"Coffee Springs",AL, +31.1658359, -085.9108977
1,"Hammondville",AL, +34.5662320, -085.6403484
1,"Fairview",AL, +34.2501953, -086.6777238
1,"Good Hope",AL, +34.1106885, -086.8671043
1,"Holly Pond",AL, +34.1676864, -086.6120674
1,"Munford",AL, +33.5276441, -085.9538092
1,"Edwardsville",AL, +33.8837398, -085.4141243
1,"Ranburne",AL, +33.5258526, -085.3390128
1,"Heflin",AL, +33.6473996, -085.5693387
1,"Smiths Station",AL, +32.5228523, -085.0994255
1,"Loachapoka",AL, +32.6079461, -085.5984790
1,"Leighton",AL, +34.6936802, -087.5242822
1,"Tuscumbia",AL, +34.7185022, -087.7025864
1,"Cherokee",AL, +34.7577002, -087.9655891
1,"Littleville",AL, +34.5951205, -087.6707295
1,"Garden City",AL, +34.0146877, -086.7490538
1,"Baileyton",AL, +34.2608584, -086.6087877
1,"Colony",AL, +33.9413934, -086.9020005
1,"Dodge City",AL, +34.0432753, -086.8855239
1,"Brewton",AL, +31.1091749, -087.0765833
1,"Marion",AL, +32.6319678, -087.3173331
1,"Uniontown",AL, +32.4466205, -087.4872710
1,"Orrville",AL, +32.3067686, -087.2454473
1,"Valley Grande",AL, +32.4868717, -087.0327731
1,"Akron",AL, +32.8790657, -087.7408993
1,"Greensboro",AL, +32.7009680, -087.5937002
1,"Newbern",AL, +32.5916721, -087.5356139
1,"Brundidge",AL, +31.7176386, -085.8175502
1,"Calera",AL, +33.1223194, -086.7456439
1,"Libertyville",AL, +31.2400501, -086.4569553
1,"Sanford",AL, +31.2988195, -086.3988477
1,"Coffeeville",AL, +31.7665645, -088.0860494
1,"Sheffield",AL, +34.7570189, -087.6970846
1,"Red Bay",AL, +34.4360968, -088.1365151
1,"Russellville",AL, +34.5057191, -087.7281226
1,"Fulton",AL, +31.7909894, -087.7442119
1,"Grove Hill",AL, +31.6986703, -087.7728675
1,"Hurtsboro",AL, +32.2400898, -085.4146703
1,"Atmore",AL, +31.1240665, -087.4577975
1,"Childersburg",AL, +33.2925584, -086.3408639
1,"Talladega",AL, +33.4317569, -086.0994543
1,"York",AL, +32.5005859, -088.2913937
1,"Glenwood",AL, +31.6712662, -086.1736865
1,"Petrey",AL, +31.8521599, -086.2040072
1,"Midway",AL, +32.0763726, -085.5244170
1,"Aliceville",AL, +33.1237058, -088.1593444
1,"Gordo",AL, +33.3222863, -087.9036812
1,"Phenix City",AL, +32.4537093, -085.0310190
1,"Clanton",AL, +32.8455725, -086.6194937
1,"Taylor",AL, +31.1688107, -085.4757898
1,"Ashford",AL, +31.1852844, -085.2362356
1,"Avon",AL, +31.1797269, -085.2792111
1,"South Vinemont",AL, +34.2355674, -086.8639651
1,"West Point",AL, +34.2387352, -086.9640168
1,"Haleburg",AL, +31.4099758, -085.1380681
1,"West Blocton",AL, +33.1181762, -087.1252247
1,"Kellyton",AL, +32.9791885, -086.0346082
1,"Pinson",AL, +33.7092625, -086.6636132
1,"Maplesville",AL, +32.7843914, -086.8796945
1,"Deatsville",AL, +32.5890438, -086.3890586
1,"Arley",AL, +34.0762335, -087.2178311
1,"Nauvoo",AL, +33.9843865, -087.4854396
1,"McKenzie",AL, +31.5464695, -086.7259543
1,"Castleberry",AL, +31.2996776, -087.0291292
1,"Fairhope",AL, +30.5209200, -087.8791220
1,"Robertsdale",AL, +30.5571390, -087.7047227
1,"Evergreen",AL, +31.4332160, -086.9760809
1,"Jackson",AL, +31.5323206, -087.8911826
1,"Thomasville",AL, +31.9150108, -087.7372043
1,"Muscle Shoals",AL, +34.7426570, -087.6337673
1,"Valley",AL, +32.8087358, -085.1810800
1,"North Courtland",AL, +34.6800232, -087.3057168
1,"New Brockton",AL, +31.3767095, -085.9190283
1,"Parrish",AL, +33.7323211, -087.2801272
1,"Sipsey",AL, +33.8221186, -087.0829179
1,"Elba",AL, +31.4172180, -086.0771151
1,"Kinston",AL, +31.2196038, -086.1700752
1,"Guin",AL, +33.9832195, -087.9023629
1,"Hackleburg",AL, +34.2693553, -087.8304018
1,"Headland",AL, +31.3549740, -085.3570308
1,"Foley",AL, +30.3970714, -087.6684582
1,"Loxley",AL, +30.6845882, -087.7392128
1,"Troy",AL, +31.8019595, -085.9671296
1,"Repton",AL, +31.4097164, -087.2389310
1,"Athens",AL, +34.7790209, -086.9507986
1,"Lester",AL, +34.9827513, -087.1555359
1,"Highland Lake",AL, +33.8945865, -086.4225527
1,"Nectar",AL, +33.9797787, -086.6206144
1,"Rosa",AL, +33.9927555, -086.5003250
1,"Twin",AL, +33.9923143, -087.8522949
1,"Memphis",AL, +33.1370440, -088.3059420
1,"Pickensville",AL, +33.2357825, -088.2894432
1,"Reform",AL, +33.3782598, -088.0172733
1,"McMullen",AL, +33.1480998, -088.1757492
1,"Talladega Springs",AL, +33.1204519, -086.4377611
1,"Linden",AL, +32.3013604, -087.7925826
1,"Myrtlewood",AL, +32.2520877, -087.9492614
1,"Providence",AL, +32.3423864, -087.7761150
1,"Thomaston",AL, +32.2682775, -087.6237059
